learner_id,week_number,step_number,question_number,answer,submitted,correct
hsbf-583,2,11,1,2,2016-06-10 09:31:54 UTC,Y
hsbf-583,2,11,2,3,2016-06-10 09:32:12 UTC,N
hsbf-583,2,11,3,4,2016-06-10 09:32:41 UTC,Y
hsbf-583,2,11,3,1,2016-06-10 09:32:55 UTC,N
hsbf-583,2,11,4,4,2016-06-10 09:33:40 UTC,N
hsbf-583,2,11,4,2,2016-06-10 09:33:51 UTC,N
hsbf-583,2,11,4,2,2016-06-10 09:34:12 UTC,Y
hsbf-583,2,11,5,3,2016-06-10 09:34:43 UTC,N
apen-673,2,11,1,1,2016-05-30 19:26:42 UTC,Y
rsfi-588,2,11,1,3,2016-04-12 11:33:02 UTC,Y
