id,author_id,parent_id,step,week_number,step_number,text,timestamp,likes,SA,word_count,char_count
568659,nume-552,,2_6,2,6,Excellent course and teachers. Congratulations!!,2016-06-02 14:07:36 UTC,2,1,5,48
568660,nume-552,568659,2_6,2,6,This is a good course for an CIO in a non technical company.,2016-06-02 17:37:00 UTC,0,-1,13,60
568661,nume-552,,8_6,8,6,"Good content, but the course setting does (at least for me) not allow learn the content long term due to missing reading material.",2016-07-08 20:33:57 UTC,5,0,23,130
568662,nume-552,,9_6,9,6,Very structured approach. Thank you for sharing with me.,2016-07-15 13:07:09 UTC,2,1,9,56
568663,pwen-653,,6_3,6,3,Excellent !!!,2016-06-14 20:49:52 UTC,0,1,2,13
568664,pwen-653,,6_4,6,4,"Program demystifies the evolving world of CIOs in a typical global corporation.Coverage being introductory familiarizes participants nicely through some of the nuances & emerging trends.When I took the course participant numbers was fewer, so feedback was quite delayed. So one should plan to be patient to get their peer reviews.Based on peer reviews i sensed much variations in their expectations.Few sections are in French with Subtitles.Subtitle quality requires audit/review.",2016-06-15 15:51:44 UTC,1,0,69,480
568665,pwen-653,,6_5,6,5,Excellent Course,2016-06-15 15:59:34 UTC,6,0,2,16
568666,pwen-653,,6_6,6,6,Very relevant and useful course designed for CIOs,2016-06-16 12:32:50 UTC,8,1,8,49
568667,pwen-653,,6_7,6,7,This course does not say anything about digitization which is the core subject of the digital wave.,2016-06-16 12:46:23 UTC,2,1,17,99
568668,pwen-653,568667,6_8,6,8,Videos that are presented in French could've been translated to English.,2016-06-16 12:56:12 UTC,1,0,11,72
568669,pwen-653,,6_9,6,9,"The course content is quite good, though it could have been deeper in some areas.But its peer review system is not working well, if at all.Regards, An Le.",2016-06-16 13:51:01 UTC,2,1,28,154
568670,pwen-653,568669,6_9,6,9,"Great piece of work, I especially liked a few 'lifehacks' for the CIO",2016-06-16 14:19:24 UTC,3,-1,13,69
568671,pwen-653,,9_12,9,12,"Excellent course, for me it was very rewarding and the terms used and the tools given were excellent, and today and I put in use in my job, Thank you for inculcating knowledge and move on",2016-07-20 16:08:50 UTC,0,-1,36,187
568672,jtwn-324,,1_2,1,2,Boring course ,2016-04-18 11:58:11 UTC,0,-1,2,12
