learner_id,step,started,completed
pwen-653,1_1,2018-05-22 14:04:47 UTC,2018-05-22 14:12:40 UTC
pwen-653,1_2,2018-05-22 14:14:27 UTC,2018-05-22 14:14:41 UTC
pwen-653,2_6,2018-06-03 14:00:05 UTC,2018-06-03 14:08:38 UTC
pwen-653,2_7,2018-06-03 14:08:41 UTC,2018-06-03 14:47:31 UTC
pwen-653,2_11,2018-06-03 18:34:37 UTC,2018-06-11 09:34:43 UTC
pwen-653,2_12,2018-06-11 09:34:53 UTC,2018-06-11 09:34:59 UTC
pwen-653,3_1,2018-06-11 09:35:50 UTC,2018-06-11 09:51:45 UTC
pwen-653,8_5,2018-07-09 17:18:40 UTC,2018-07-09 20:27:16 UTC
pwen-653,8_6,2018-07-09 20:27:26 UTC,2018-07-09 20:34:12 UTC
pwen-653,8_7,2018-07-09 20:34:17 UTC,2018-07-09 20:42:15 UTC
pwen-653,8_8,2018-07-09 20:42:20 UTC,2018-07-10 09:37:41 UTC
pwen-653,8_9,2018-07-10 09:37:43 UTC,2018-07-10 09:38:05 UTC
pwen-653,9_1,2018-07-10 09:42:54 UTC,2018-07-10 09:43:04 UTC
pwen-653,9_5,2018-07-16 12:58:54 UTC,2018-07-16 13:03:39 UTC
pwen-653,9_6,2018-07-16 13:03:40 UTC,2018-07-16 13:07:13 UTC
pwen-653,9_7,2018-07-16 13:07:14 UTC,2018-07-16 13:07:39 UTC
pwen-653,9_8,2018-07-16 13:07:41 UTC,2018-07-16 13:07:50 UTC
pwen-653,9_9,2018-07-16 13:07:52 UTC,2018-07-16 13:08:36 UTC
pwen-653,9_1,2018-07-16 13:08:37 UTC,2018-07-16 13:11:31 UTC
pwen-653,9_11,2018-07-16 13:11:35 UTC,2018-07-16 13:14:32 UTC
pwen-653,9_12,2018-07-16 13:20:27 UTC,2018-07-16 13:20:38 UTC
pwen-653,9_13,2018-07-16 13:24:41 UTC,2018-07-16 13:25:38 UTC
pwen-653,9_14,2018-07-16 13:25:11 UTC,2018-07-16 13:25:29 UTC
nume-552,1_1,2018-05-29 16:44:52 UTC,2018-05-29 16:53:38 UTC
nume-552,1_2,2018-05-26 13:35:44 UTC,2018-05-29 16:53:51 UTC
nume-552,1_3,2018-05-29 16:53:52 UTC,2018-06-17 17:43:47 UTC
nume-552,1_4,2018-06-17 17:43:50 UTC,2018-06-17 17:44:45 UTC
nume-552,1_5,2018-06-17 17:44:47 UTC,2018-06-17 17:45:29 UTC
nume-552,1_6,2018-06-17 17:45:31 UTC,2018-06-17 18:30:19 UTC
nume-552,1_7,2018-06-17 18:30:21 UTC,2018-06-18 08:10:49 UTC
nume-552,1_8,2018-06-18 08:10:51 UTC,2018-06-18 08:11:20 UTC
nume-552,1_9,2018-06-18 08:11:23 UTC,2018-07-19 14:07:20 UTC
nume-552,1_1,2018-07-19 14:07:22 UTC,2018-07-19 14:47:08 UTC
nume-552,1_11,2018-07-19 14:47:11 UTC,2018-07-19 14:48:49 UTC
nume-552,2_1,2018-07-19 14:49:55 UTC,2018-07-19 14:52:19 UTC
nume-552,2_2,2018-07-19 14:53:31 UTC,2018-07-19 14:56:36 UTC
nume-552,2_3,2018-07-19 14:56:40 UTC,2018-08-14 06:46:05 UTC
hrbf-553,1_1,2018-05-21 16:41:32 UTC,2018-05-21 17:24:56 UTC
hrbf-553,1_2,2018-05-21 16:42:35 UTC,2018-05-21 17:33:22 UTC
hrbf-553,2_1,2018-05-25 20:21:39 UTC,2018-05-31 19:26:07 UTC
hrbf-553,2_11,2018-05-25 20:22:34 UTC,2018-05-31 19:29:14 UTC
hrbf-553,2_12,2018-05-25 20:22:59 UTC,2018-05-31 19:32:17 UTC
hrbf-553,6_1,2018-06-15 19:45:41 UTC,2018-06-15 19:55:24 UTC
hrbf-553,6_2,2018-06-29 18:31:12 UTC,2018-06-29 18:37:40 UTC
hrbf-553,6_3,2018-06-15 19:45:59 UTC,2018-06-15 20:50:04 UTC
hrbf-553,6_4,2018-06-15 19:46:57 UTC,2018-06-16 15:52:33 UTC
hrbf-553,6_5,2018-06-15 19:48:09 UTC,2018-06-16 16:00:12 UTC
hrbf-553,6_6,2018-06-15 19:48:19 UTC,2018-06-17 12:32:58 UTC
hrbf-553,6_7,2018-06-15 19:50:27 UTC,2018-06-17 12:47:56 UTC
hrbf-553,6_8,2018-06-15 19:51:02 UTC,2018-06-17 12:56:33 UTC
hrbf-553,6_9,2018-06-15 19:51:17 UTC,2018-06-17 14:21:01 UTC
hrbf-553,6_1,2018-06-15 19:51:54 UTC,2018-06-17 14:24:43 UTC
hrbf-553,6_11,2018-06-15 19:52:20 UTC,2018-06-17 14:26:42 UTC
hrbf-553,9_1,2018-07-02 14:00:46 UTC,2018-07-21 15:44:48 UTC
hrbf-553,9_11,2018-07-02 14:00:59 UTC,2018-07-21 15:58:15 UTC
hrbf-553,9_12,2018-07-02 14:01:51 UTC,2018-07-21 16:09:00 UTC
hrbf-553,9_13,2018-07-02 14:02:28 UTC,2018-07-21 16:54:49 UTC
hrbf-553,9_14,2018-07-02 14:02:36 UTC,2018-07-21 17:23:06 UTC
jtwn-324,1_1,2018-04-16 10:56:11 UTC,2018-04-16 10:59:11 UTC
jtwn-324,1_2,2018-04-19 11:56:11 UTC,2018-04-19 11:59:11 UTC
uafi-528,2_11,2018-04-13 11:20:02 UTC,2018-04-13 11:34:02 UTC
